NUMBER	SwissProt ID (DUB)	SwissProt ID (Substrate)	SwissProt AC (DUB)	SwissProt AC (Substrate)	Gene Symbol (DUB)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	DUBTYPE	COUNT	type	species
175	UBP11_HUMAN	IKKA_HUMAN	P51784	O15111	USP11	CHUK	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
176	UBP15_HUMAN	IKKA_HUMAN	Q9Y4E8	O15111	USP15	CHUK	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
177	OTUD1_HUMAN	YAP1_HUMAN	Q5VV17	P46937	OTUD1	YAP1	MEDLINE	29891922	Here, we report that <span class="match term1">YAP</span> is subject to non-proteolytic, K63-linked polyubiquitination by the SCFSKP2 E3 ligase complex (SKP2), which is reversed by the deubiquitinase <span class="match term0">OTUD1</span>	OTU	1	Training data	H.sapiens
178	USP9X_HUMAN	KDM4C_HUMAN	Q93008	Q9H3R0	USP9X	KDM4C	MEDLINE	33558705	Using tandem affinity purification technology, we further identify deubiquitinase <span class="match term0">USP9X</span> as a critical binding partner that deubiquitinates and stabilizes <span class="match term1">KDM4C</span>	USP	1	Other	H.sapiens
179	UBP7_HUMAN	UVSSA_HUMAN	Q93009	Q2YD98	USP7	UVSSA	MEDLINE	29323787	The central region of <span class="match term1">UVSSA</span>, which contains the tumor necrosis factor receptor-associated factor (TRAF)-binding motif, is required for the interaction with the N-terminal TRAF domain of <span class="match term0">USP7</span>. Here, we showed that <span class="match term1">UVSSA</span> is mono-ubiquitinated in vitro and identified a lysine residue (Lys414 ) in <span class="match term1">UVSSA</span> as the target of ubiquitination. The deubiquitination activity of <span class="match term0">USP7</span> was inhibited by the ubiquitin-conjugating enzyme UbcH6. Lys414 was also modified by poly-ubiquitin chains in vivo. 	USP	1	Other	H.sapiens
180	UBP29_HUMAN	CLSPN_HUMAN	Q9HBJ7	Q9HAW4	USP29	CLSPN	MEDLINE	24632611	<span class="match term0">USP29</span> controls the stability of checkpoint adaptor <span class="match term1">Claspin</span> by deubiquitination	USP	1	Training data	H.sapiens
181	UBP14_HUMAN	CXCR4_HUMAN	P54578	P61073	USP14	CXCR4	MEDLINE	19106094	Co-localization of <span class="match term1">CXCR4</span> and <span class="match term0">USP14</span> also is time-dependent following CXCL12 stimulation	USP	1	Training data	H.sapiens
182	UBP28_HUMAN	CLSPN_HUMAN	Q96RU2	Q9HAW4	USP28	CLSPN	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
183	UBP13_HUMAN	NLRP3_HUMAN	Q92995	Q96P20	USP13	NLRP3	MEDLINE	33243234	Moreover, we demonstrated that <span class="match term0">USP13</span> is a key enzyme for Paxillin-mediated <span class="match term1">NLRP3</span> deubiquitination upon ATP treatment	USP	1	Other	H.sapiens
184	UBP26_HUMAN	SNAI1_HUMAN	Q9BXU7	O95863	USP26	SNAI1	MEDLINE	30763716	In this study, we screened a DUB library and found <span class="match term0">USP26</span> is a potent deubiquitinase mediating <span class="match term1">Snail</span> stabilization	USP	1	Other	H.sapiens
185	UBP5_HUMAN	TRAF6_HUMAN	P45974	Q9Y4K3	USP5	TRAF6	MEDLINE	32214906	In addition, <span class="match term0">USP5</span> was found to interact with tumor necrosis factor receptor-associated factor 6 (<span class="match term1">TRAF6</span>) and remove its K48-linked polyubiquitination chains therefore stabilizing <span class="match term1">TRAF6</span>	USP	1	Other	H.sapiens
186	UBP20_HUMAN	CLSPN_HUMAN	Q9Y2K6	Q9HAW4	USP20	CLSPN	MEDLINE	25355518	<span class="match term0">USP20</span> in turn deubiquitinates and stabilizes <span class="match term1">Claspin</span> and enhances the activation of ATR-Chk1 signaling	USP	1	Training data	H.sapiens
187	UBP3_HUMAN	CLSPN_HUMAN	Q9Y6I4	Q9HAW4	USP3	CLSPN	MEDLINE	31900278	Moreover, we found that Smo reduced <span class="match term1">Claspin</span> polyubiquitination and proteasomal degradation by promoting <span class="match term0">USP3</span> transcription	USP	1	Other	H.sapiens
188	PCDB3_HUMAN	NFKB1_HUMAN	Q9Y5E6	P19838	PCDHB3	NFKB1	MEDLINE	29537081	The tumor-suppressive effects of <span class="match term0">PCDHB3</span> are partially due to inhibition of NF-kappaB transcriptional activity through K63 deubiquitination of <span class="match term1">p50</span> at lysine 244/252, which increases the binding affinity of inactive <span class="match term1">p50</span> homodimer to kappaB DNA, resulting in competitive inhibition of the transcription of NF-kappaB target genes by p65 dimers.	Other	1	Training data	H.sapiens
189	UBP7_HUMAN	CLSPN_HUMAN	Q93009	Q9HAW4	USP7	CLSPN	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
190	CYLD_HUMAN	NR2C2_HUMAN	Q9NQC7	P49116	CYLD	NR2C2	MEDLINE	26763122	Other identified <span class="match term0">CYLD</span> substrates include TNF receptor associated factor 7 (TRAF7), TRAF interacting protein (TRIP), transforming growth factor beta-activated kinase 1 (<span class="match term1">TAK1</span>), NF-kappa-B essential modifier (NEMO), lymphocyte cell specific protein-tyrosine kinase (LCK), receptor-interacting protein 1 (RIP1), retinoic acid inducible gene (RIG), and polo-like kinase 1 (PLK1)	USP	1	Training data	H.sapiens
191	UBP7_HUMAN	CNBP1_HUMAN	Q93009	Q9NSA3	USP7	CTNNBIP1	MEDLINE	29045831	29045831	USP	1	Other	H.sapiens
192	OTUD4_HUMAN	XPC_HUMAN	Q01804	Q01831	OTUD4	XPC	MEDLINE	24366067	Importantly, we validated the <span class="match term1">XPC</span>-<span class="match term0">OTUD4</span> interaction by co-IP and provided evidence that <span class="match term0">OTUD4</span> knockdown in human cells indeed affects the levels of ubiquitinated <span class="match term1">XPC</span>, supporting a hypothesis that the <span class="match term0">OTUD4</span> deubiquitinase is involved in <span class="match term1">XPC</span> recycling by cleaving the ubiquitin moiety.	OTU	1	Other	H.sapiens
193	UCHL1_HUMAN	IL8_HUMAN	P09936	P10145	UCHL1	CXCL8	MEDLINE	30305579	It was showed that <span class="match term0">UCH-L1</span> over-expression inhibited NF-kappaB activation and decrease IL-6 and IL-8 levels, while knockdown of it enhanced NF-kappaB activation and increase IL-6 and IL-8 levels during TNF-alpha treatment.	UCH	1	Training data	H.sapiens
194	UBP7_HUMAN	DAXX_HUMAN	Q93009	Q9UER7	USP7	DAXX	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
195	UBP25_HUMAN	TRAF6_HUMAN	Q9UHP3	Q9Y4K3	USP25	TRAF6	MEDLINE	23042150	Mechanistically, stimulation with IL-17 induced the association of <span class="match term0">USP25</span> with the adaptors TRAF5 and <span class="match term1">TRAF6</span>, and <span class="match term0">USP25</span> induced removal of Lys63-linked ubiquitination in TRAF5 and <span class="match term1">TRAF6</span> mediated by the adaptor Act2.	USP	1	Other	H.sapiens
196	CSN5_HUMAN	PD1L1_HUMAN	Q92905	Q9NZQ7	COPS5	CD274	MEDLINE	27866850	Deubiquitination and Stabilization of <span class="match term1">PD-L1</span> by <span class="match term0">CSN5</span>	JAMM	1	Training data	H.sapiens
197	UBP15_HUMAN	RORG_HUMAN	Q9Y4E8	P51449	USP15	RORC	MEDLINE	27430721	Knockdown of <span class="match term0">USP15</span> or expression of inactive <span class="match term0">USP15</span> impaired Th17 differentiation, suggesting a positive role for <span class="match term0">USP15</span>-mediated deubiquitination of <span class="match term1">RORGAMMAT</span> in Th17 differentiation.	USP	1	Training data	H.sapiens
198	UBP11_HUMAN	TGFR2_HUMAN	P51784	P37173	USP11	TGFBR2	MEDLINE	29724812	Together, these data suggest that deubiquitination of <span class="match term1">TGFBR2</span> by <span class="match term0">USP11</span> effectively spares <span class="match term1">TGFBR2</span> from proteasomal degradation to promote EMT and metastasis.	USP	1	Training data	H.sapiens
199	USP9X_HUMAN	DDI1_HUMAN	Q93008	Q8WTU0	USP9X	DDI1	MEDLINE	31130875	31130875	USP	1	Other	H.sapiens
200	UBP13_HUMAN	UIMC1_HUMAN	Q92995	Q96RL1	USP13	UIMC1	MEDLINE	28569838	<span class="match term0">USP13</span>, in turn, deubiquitinates <span class="match term1">RAP80</span> and promotes <span class="match term1">RAP80</span> recruitment and proper DDR.	USP	1	Training data	H.sapiens
201	UBP21_HUMAN	DDX58_HUMAN	Q9UK80	O95786	USP21	DDX58	MEDLINE	27341175	Another study demonstrated that <span class="match term0">USP21</span> deubiquitinates RIG-1, an essential protein in antiviral immune defense.	USP	1	Training data	H.sapiens
202	CYLD_HUMAN	DLG4_HUMAN	Q9NQC7	P78352	CYLD	DLG4	MEDLINE	28973854	<span class="match term0">CYLD</span>-mediated <span class="match term1">PSD-95</span> deubiquitination, mobilizing and depleting PSD-95 from synapses.	USP	1	Training data	H.sapiens
203	UBP7_HUMAN	DNMT1_HUMAN	Q93009	P26358	USP7	DNMT1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
204	UBP14_HUMAN	DVL2_HUMAN	P54578	O14641	USP14	DVL2	MEDLINE	23958854	<span class="match term0">Usp14</span> deubiquitinates K63-linked polyubiquitin chains of <span class="match term1">Dvl</span>	USP	1	Training data	H.sapiens
205	USP9X_HUMAN	BMAL1_HUMAN	Q93008	O00327	USP9X	ARNTL	MEDLINE	29626158	Here, we use affinity purification and mass spectrometry analysis to identify probable ubiquitin carboxyl-terminal hydrolase FAF-X (<span class="match term0">USP9X</span>) as an interacting protein of the core clock protein aryl hydrocarbon receptor nuclear translocator-like protein 1 (<span class="match term1">ARNTL</span> or BMAL1).	USP	1	Training data	H.sapiens
206	UBP7_HUMAN	MARH7_HUMAN	Q93009	Q9H992	USP7	MARCHF7	MEDLINE	29080116	It has been proposed that <span class="match term0">USP7</span> may reverse self-ubiquitination of the Ub E3 ligase <span class="match term1">MARCH7</span>, thus stabilizing <span class="match term1">MARCH7</span> which has been known to regulate the expression levels of E-cadherin and beta-catenin	USP	1	Training data	H.sapiens
207	OTU7B_HUMAN	EGFR_HUMAN	Q6GQQ9	P00533	OTUD7B	EGFR	MEDLINE	25121098	USP21 and Cezanne or <span class="match term0">OTUD7B</span> negatively regulate NFkappaB signaling by deubiquitinating and inactivating RIP1 upon TNF-alpha stimulation, providing a feedback loop in the proinflammatory signaling	OTU	1	Training data	H.sapiens
208	UBP10_HUMAN	SL9A3_HUMAN	Q14694	P48764	USP10	SLC9A3	MEDLINE	33095475	Ubiquitin-specific peptidase 7 (USP7) and <span class="match term0">USP10</span> mediate deubiquitination of human <span class="match term1">NHE3</span> regulating its expression and activity	USP	1	Other	H.sapiens
209	UBP8_HUMAN	EGFR_HUMAN	P40818	P00533	USP8	EGFR	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
210	USP9X_HUMAN	IF4B_HUMAN	Q93008	P23588	USP9X	EIF4B	MEDLINE	29228324	<span class="match term0">USP9X</span> controls translation efficiency via deubiquitination of eukaryotic translation initiation factor 4A1	USP	1	Training data	H.sapiens
211	CYLD_HUMAN	ARHGC_HUMAN	Q9NQC7	Q9NZN5	CYLD	ARHGEF12	MEDLINE	23405219	Mechanistically, <span class="match term0">CYLD</span> does not interact with RhoA; instead, it interacts with and deubiquitinates leukemia-associated RhoGEF (<span class="match term1">LARG</span>).	USP	1	Training data	H.sapiens
212	BRCC3_HUMAN	NLRP3_HUMAN	P46736	Q96P20	BRCC3	NLRP3	MEDLINE	32941940	CONCLUSION: <span class="match term0">BRCC3</span> and JOSD2 mediate <span class="match term1">NLRP3</span>-R779C deubiquitination, which promotes <span class="match term1">NLRP3</span> inflammasome activation and the risk of developing VEOIBD.	JAMM	1	Training data	H.sapiens
213	OTUD3_HUMAN	P53_HUMAN	Q5T2D3	P04637	OTUD3	TP53	MEDLINE	32571254	Tumor suppressor <span class="match term0">OTUD3</span> induces growth inhibition and apoptosis by directly deubiquitinating and stabilizing <span class="match term1">p53</span> in invasive breast carcinoma cells	OTU	1	Other	H.sapiens
214	UBP14_HUMAN	ELOV6_HUMAN	P54578	Q9H5J4	USP14	ELOVL6	MEDLINE	30425250	Among  the potential substrates identified, we show that fatty acid synthase (<span class="match term1">FASN</span>), a key enzyme involved in hepatic lipogenesis, is a bona fide substrate of <span class="match term0">USP14</span>.	USP	1	Training data	H.sapiens
215	UBP2_HUMAN	ELOV6_HUMAN	O75604	Q9H5J4	USP2	ELOVL6	MEDLINE	29449607	In various cancers, including prostate cancer and ovarian carcinoma, upregulation of <span class="match term0">USP2</span> leads to an increase in the levels of deubiquitinated substrates such as fatty acid synthase, MDM2, cyclin D1 and Aurora-A.	USP	1	Training data	H.sapiens
216	UBP7_HUMAN	ERCC6_HUMAN	Q93009	Q03468	USP7	ERCC6	MEDLINE	28031783	28031783	USP	1	Training data	H.sapiens
217	UBP7_HUMAN	ERR1_HUMAN	Q93009	P11474	USP7	ESRRA	MEDLINE	31518603	Deubiquitination and stabilization of estrogen receptor alpha by <span class="match term0">UBIQUITIN-SPECIFIC PROTEASE 7</span> promotes breast tumorigenesis	USP	1	Other	H.sapiens
218	STABP_HUMAN	PAR2_HUMAN	O95630	P55085	STAMBP	F2RL1	MEDLINE	19684015	Expression of the catalytically inactive mutants, <span class="match term0">AMSH</span>(D348A) and UBPY(C786S), caused an increase in <span class="match term1">PAR</span>(2) ubiquitination and trapped the receptor in early endosomes, thereby preventing lysosomal trafficking and degradation.	Other	1	Training data	H.sapiens
219	UBP7_HUMAN	SIR7_HUMAN	Q93009	Q9NRC8	USP7	SIRT7	MEDLINE	28655758	Ubiquitin-specific peptidase 7 (<span class="match term0">USP7</span>)-mediated deubiquitination of the histone deacetylase <span class="match term1">SIRT7</span> regulates gluconeogenesis	USP	1	Training data	H.sapiens
220	UBP10_HUMAN	TRAF6_HUMAN	Q14694	Q9Y4K3	USP10	TRAF6	MEDLINE	25861989	We found TANK formed a complex with MCPIP1 (also known as ZC3H12A) and a deubiquitinase, <span class="match term0">USP10</span>, which was essential for the <span class="match term0">USP10</span>-dependent deubiquitination of <span class="match term1">TRAF6</span> and the resolution of genotoxic NF-kappaB activation upon DNA damage.	USP	1	Training data	H.sapiens
221	UBP14_HUMAN	ANDR_HUMAN	P54578	P10275	USP14	AR	MEDLINE	29353883	Additionally, both genetic and pharmacological inhibition of <span class="match term0">USP14</span> significantly  suppressed cell proliferation in <span class="match term1">AR</span>-responsive breast cancer cells by blocking G0/G1 to S phase transition and inducing apoptosis.	USP	1	Training data	H.sapiens
222	UBP8_HUMAN	PAR2_HUMAN	P40818	P55085	USP8	F2RL1	MEDLINE	19684015	Expression of the catalytically inactive mutants, AMSH(D348A) and <span class="match term0">UBPY</span>(C786S), caused an increase in <span class="match term1">PAR</span>(2) ubiquitination and trapped the receptor in early endosomes, thereby preventing lysosomal trafficking and degradation.	USP	1	Training data	H.sapiens
223	UBP1_HUMAN	FACD2_HUMAN	O94782	Q9BXW9	USP1	FANCD2	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
224	ATX3_HUMAN	KLF4_HUMAN	P54252	O43474	ATXN3	KLF4	MEDLINE	31563563	Subsequent immunoprecipitation assays confirmed that <span class="match term0">ATXN3</span> bound to <span class="match term1">KLF4</span>, mediating the deubiquitination and stabilization of <span class="match term1">KLF4</span> protein levels	Josephin	1	Other	H.sapiens
225	UBP7_HUMAN	MYCN_HUMAN	Q93009	P04198	USP7	MYCN	MEDLINE	27618649	<span class="match term0">HAUSP</span> deubiquitinates and stabilizes <span class="match term1">N-MYC</span> in neuroblastoma	USP	1	Training data	H.sapiens
226	UBP22_HUMAN	F16P1_HUMAN	Q9UPT9	P09467	USP22	FBP1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
227	OTUB2_HUMAN	TRAF3_HUMAN	Q96DC9	Q13114	OTUB2	TRAF3	MEDLINE	19996094	Regulation of virus-triggered signaling by OTUB1- and <span class="match term0">OTUB2</span>-mediated deubiquitination of <span class="match term1">TRAF3</span> and TRAF6	OTU	1	Training data	H.sapiens
228	UBP5_HUMAN	FOXM1_HUMAN	P45974	Q08050	USP5	FOXM1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
229	UBP4_HUMAN	PRP31_HUMAN	Q13107	Q8WWY3	USP4	PRPF31	MEDLINE	28088760	USP15SART3 makes a complex with <span class="match term0">USP4</span> and this ternary complex serves as a platform to deubiquitinate <span class="match term1">PRP31</span> and PRP3	USP	1	Other	H.sapiens
230	UBP7_HUMAN	FOXO1_HUMAN	Q93009	Q12778	USP7	FOXO1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
231	UBP7_HUMAN	FOXO3_HUMAN	Q93009	O43524	USP7	FOXO3	MEDLINE	25121098	<span class="match term0">USP7</span> deubiquitinates checkpoint with forkhead and RING finger domains protein (Chfr), which in turn ubiquitinates histone deacetylase 1 (HDAC1), leading to upregulation of p21Cip1/Waf1 and induction of G1 arrest	USP	1	Training data	H.sapiens
232	UBP15_HUMAN	SMAD1_HUMAN	Q9Y4E8	Q15797	USP15	SMAD1	MEDLINE	28245560	reports have suggested that <span class="match term0">USP15</span> acts as a key regulator of TGF-b receptor-signaling pathways by deubiquitinating the TGF-b receptor itself and its downstream transducers receptor-regulated SMADs (R-SMADs), including <span class="match term1">SMAD1</span>, SMAD2, and SMAD3, thus activating the TGF-b target genes.	USP	1	Other	H.sapiens
233	UBP7_HUMAN	FOXO4_HUMAN	Q93009	P98177	USP7	FOXO4	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
234	ZRAN1_HUMAN	HECD1_HUMAN	Q9UGI0	Q9ULT8	ZRANB1	HECTD1	MEDLINE	33853758	The E3 ubiquitin ligase <span class="match term1">HECTD1</span> was then validated as a substrate of <span class="match term0">TRABID</span> and used UbiCREST and Ub-AQUA proteomics to show that <span class="match term1">HECTD1</span> preferentially assembles K29- and K48-linked ubiquitin chains	OTU	1	Other	H.sapiens
235	UBP14_HUMAN	GABR1_HUMAN	P54578	Q9UBS5	USP14	GABBR1	MEDLINE	26817839	Post-endocytotic Deubiquitination and Degradation of the Metabotropic gamma-Aminobutyric Acid Receptor by the <span class="match term0">Ubiquitin-specific Protease 14</span>	USP	1	Training data	H.sapiens
236	UBP21_HUMAN	GATA3_HUMAN	Q9UK80	P23771	USP21	GATA3	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
237	UBP8_HUMAN	NTRK1_HUMAN	P40818	P04629	USP8	NTRK1	MEDLINE	28335430	Recent studies have attempted to identify the specific DUBs associated with <span class="match term1">TrkA</span>, where Ceriani and collaborators described an interaction between <span class="match term1">TrkA</span> and <span class="match term0">USP8</span> (USP-family) in PC12 cells	USP	1	Training data	H.sapiens
238	OTUB2_HUMAN	GLI2_HUMAN	Q96DC9	P10070	OTUB2	GLI2	MEDLINE	30241937	Here we have identified the eubiquitinating enzyme otubain2 (<span class="match term0">OTUB2</span>) as a regulator of <span class="match term1">Gli2</span> protein degradation	OTU	1	Other	H.sapiens
239	USP9X_HUMAN	GPSM1_HUMAN	Q93008	Q86YR5	USP9X	GPSM1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
240	UCHL3_HUMAN	RAD51_HUMAN	P15374	Q06609	UCHL3	RAD51	MEDLINE	27941124	<span class="match term0">UCHL3</span>, in turn, deubiquitinates <span class="match term1">RAD51</span> and promotes the binding between <span class="match term1">RAD51</span> and BRCA2.	UCH	1	Other	H.sapiens
241	UBP8_HUMAN	BACE1_HUMAN	P40818	P56817	USP8	BACE1	MEDLINE	27302062	The Endosome-associated Deubiquitinating Enzyme <span class="match term0">USP8</span> Regulates <span class="match term1">BACE1</span> Enzyme Ubiquitination and Degradation	USP	1	Training data	H.sapiens
242	UBP13_HUMAN	UBP10_HUMAN	Q92995	Q14694	USP13	USP10	UNIPROT	UBP28_HUMAN	Deubiquitinase that mediates deubiquitination of target proteins such as BECN1, MITF, SKP2 and <span class="match term1">USP10</span>	USP	1	Other	H.sapiens
243	UBP13_HUMAN	SKP2_HUMAN	Q92995	Q13309	USP13	SKP2	UNIPROT	USP9Y_HUMAN	Deubiquitinase that mediates deubiquitination of target proteins such as BECN1, MITF, <span class="match term1">SKP2</span> and <span class="match term0">Ubp10</span>	USP	1	Other	H.sapiens
244	OTUB1_HUMAN	UB2E1_HUMAN	Q96FW1	P51965	OTUB1	UBE2E1	MEDLINE	30282802	<span class="match term0">OTUB1</span> non-catalytically stabilizes the E2 ubiquitin-conjugating enzyme <span class="match term1">UBE2E1</span> by preventing its autoubiquitination	OTU	1	Training data	H.sapiens
245	UBP8_HUMAN	GRIA1_HUMAN	P40818	P42261	USP8	GRIA1	MEDLINE	25505317	Synaptic Strength Is Bidirectionally Controlled by Opposing Activity-Dependent Regulation of Nedd4-1 and <span class="match term0">USP8</span>	USP	1	Training data	H.sapiens
246	UBP46_HUMAN	GRIA1_HUMAN	P62068	P42261	USP46	GRIA1	MEDLINE	26237995	This Editorial Highlight discusses the relevance of a study published in the current issue of Journal of Neurochemistry, in which the authors Huo and collaborators now identified ubiquitin-specific peptidase 46 (<span class="match term0">USP46</span>) as a specific AMPAR deubiquitinase.	USP	1	Training data	H.sapiens
247	UBP15_HUMAN	IKBA_HUMAN	Q9Y4E8	P25963	USP15	NFKBIA	UNIPROT	UBP47_HUMAN	regulates NF-kappa-B by mediating deubiquitination of <span class="match term1">NFKBIA</span>	USP	1	Other	H.sapiens
248	UCHL1_HUMAN	IL6_HUMAN	P09936	P05231	UCHL1	IL6	MEDLINE	30305579	It was showed that <span class="match term0">UCH-L1</span> over-expression inhibited NF-kappaB activation and decrease <span class="match term1">IL-6</span> and IL-8 levels, while knockdown of it enhanced NF-kappaB activation and increase <span class="match term1">IL-6</span> and IL-8 levels during TNF-alpha treatment.	UCH	1	Training data	H.sapiens
249	UBP15_HUMAN	SQSTM_HUMAN	Q9Y4E8	Q13501	USP15	SQSTM1	UNIPROT	UBP13_HUMAN	Involved in endosome organization by mediating deubiquitination of <span class="match term1">SQSTM1</span>	USP	1	Other	H.sapiens
250	UCHL1_HUMAN	NOX4_HUMAN	P09936	Q9NPH5	UCHL1	NOX4	MEDLINE	25915537	These findings indicate that H2O2 levels regulated by <span class="match term0">UCH-L1</span> are necessary for cell invasion to occur and demonstrate that <span class="match term0">UCH-L1</span> promotes cell invasion by up-regulating H2O2 via deubiquitination of <span class="match term1">NOX4</span>	UCH	1	Training data	H.sapiens
251	UBP11_HUMAN	NF2L2_HUMAN	P51784	Q16236	USP11	NFE2L2	MEDLINE	33531626	We further found that <span class="match term0">USP11</span> deubiquitinates <span class="match term1">NRF2</span>; this modification stabilizes <span class="match term1">NRF2</span>	USP	1	Other	H.sapiens
252	UBP15_HUMAN	TBK1_HUMAN	Q9Y4E8	Q9UHD2	USP15	TBK1	MEDLINE	32814047	Ubiquitin-Conjugating Enzyme 2S Enhances Viral Replication by Inhibiting Type I IFN Production through Recruiting <span class="match term0">USP15</span> to Deubiquitinate <span class="match term1">TBK1</span>	USP	1	Other	H.sapiens
253	UBP7_HUMAN	FOXP3_HUMAN	Q93009	Q9BZS1	USP7	FOXP3	MEDLINE	29352742	Furthermore, cambogin (10 muM) prevented <span class="match term1">Foxp3</span> loss in human primary Treg cells in vitro, and promoted <span class="match term0">USP7</span>-mediated <span class="match term1">Foxp3</span> deubiquitination and increased <span class="match term1">Foxp3</span> protein expression in LPS-treated cells.	USP	1	Training data	H.sapiens
254	UBP18_HUMAN	NR2C2_HUMAN	Q9UMW8	P49116	USP18	NR2C2	MEDLINE	26240016	<span class="match term0">USP18</span> negatively regulates NF-kappaB signaling by targeting <span class="match term1">TAK1</span> and NEMO for deubiquitination through distinct mechanisms	USP	1	Training data	H.sapiens
255	OTU7B_HUMAN	CTNB1_HUMAN	Q6GQQ9	P35222	OTUD7B	CTNNB1	MEDLINE	33599243	RNA-sequencing and biochemical studies showed that <span class="match term0">Cezanne</span> drives VSMC proliferation by regulating CCN family member 1 (CCN1) by targeting <span class="match term1">BETA-CATENIN</span> for deubiquitination	OTU	1	Other	H.sapiens
256	UBP3_HUMAN	P53_HUMAN	Q9Y6I4	P04637	USP3	TP53	MEDLINE	28807825	Depletion of <span class="match term0">USP3</span> lead to accelerated degradation of <span class="match term1">p53</span> in normal cells thereby enhanced cell proliferation and transformation	USP	1	Training data	H.sapiens
257	UBP33_HUMAN	MYC_HUMAN	Q8TEY7	P01106	USP33	MYC	MEDLINE	33718387	<span class="match term0">USP33</span> could bind and deubiquitinate c-<span class="match term1">Myc</span>	USP	1	Other	H.sapiens
258	UBP6_HUMAN	NMDZ1_HUMAN	P35125	Q05586	USP6	GRIN1	MEDLINE	31841517	The deubiquitinase <span class="match term0">USP6</span> affects memory and synaptic plasticity through modulating NMDA receptor stability	USP	1	Other	H.sapiens
259	UBP7_HUMAN	H2B2E_HUMAN	Q93009	Q16778	USP7	H2BC21	MEDLINE	32884836	Here we present evidence that UHRF1 and <span class="match term0">USP7</span> oppositely control ubiquitination of histones H3 and <span class="match term1">H2B</span> in S phase of the cell cycle and that DNMT1 binds both ubiquitinated H3 and <span class="match term1">H2B</span>	USP	1	Other	H.sapiens
260	UBP15_HUMAN	MFN2_HUMAN	Q9Y4E8	O95140	USP15	MFN2	UNIPROT	UBP15_HUMAN	Acts as an inhibitor of mitophagy by counteracting the action of parkin (PRKN): hydrolyzes cleavage of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains attached by parkin on target proteins such as <span class="match term1">MFN2</span>	USP	1	Other	H.sapiens
261	UBP28_HUMAN	STAT3_HUMAN	Q96RU2	P40763	USP28	STAT3	MEDLINE	30881015	Immunoprecipitation was performed to assess whether <span class="match term0">USP28</span> interacted with <span class="match term1">STAT3</span> or deubiquitinated <span class="match term1">STAT3</span>	USP	1	Other	H.sapiens
262	UBP11_HUMAN	IF2B3_HUMAN	P51784	O00425	USP11	IGF2BP3	MEDLINE	33594305	<span class="match term1">IGF2BP3</span> was protected by <span class="match term0">USP11</span> from degradation via deubiquitination	USP	1	Other	H.sapiens
263	UBP15_HUMAN	TET2_HUMAN	Q9Y4E8	Q6N021	USP15	TET2	MEDLINE	32948596	Here, we report that <span class="match term0">USP15</span> is a <span class="match term1">TET2</span> deubiquitinase and inhibitor	USP	1	Other	H.sapiens
264	UBP10_HUMAN	SKP2_HUMAN	Q14694	Q13309	USP10	SKP2	MEDLINE	31044085	Further investigations show that <span class="match term0">USP10</span> as a novel deubiquitinase of <span class="match term1">SKP2</span> amplifies the activation of Bcr-Abl via mediating deubiquitination and stabilization of <span class="match term1">SKP2</span> in CML cells	USP	1	Other	H.sapiens
265	UBP1_HUMAN	ULK1_HUMAN	O94782	O75385	USP1	ULK1	MEDLINE	30335599	Here, we identified <span class="match term0">USP1</span> (ubiquitin specific peptidase 1) as a key player in the modulation of <span class="match term1">ULK1</span> K63-linked deubiquitination	USP	1	Other	H.sapiens
266	UBP6_HUMAN	NMD3A_MOUSE	P35125	A2AIR5	USP6	Grin3a	MEDLINE	31841517	<span class="match term0">USP6</span> deubiquitinates NMDAR at the PSD, thereby facilitating NMDAR stabilization, resulting in increased NMDAR function and synaptic activity and enhanced cognition.	USP	1	Other	H.sapiens
267	UBP8_HUMAN	MCPH1_HUMAN	P40818	Q8NEM0	USP8	MCPH1	MEDLINE	25733871	BRUCE regulates DNA double-strand break response by promoting <span class="match term0">USP8</span> deubiquitination of <span class="match term1">BRIT1</span>	USP	1	Other	H.sapiens
268	UBP4_HUMAN	HDAC2_HUMAN	Q13107	Q92769	USP4	HDAC2	MEDLINE	26411366	<span class="match term0">USP4</span> inhibits p53 and NF-kappaB through deubiquitinating and stabilizing <span class="match term1">HDAC2</span>	USP	1	Other	H.sapiens
269	BAP1_HUMAN	H2AX_HUMAN	Q92560	P16104	BAP1	H2AFX	MEDLINE	28031783	28031783	UCH	1	Training data	H.sapiens
