NUMBER	SwissProt ID (E3)	SwissProt ID (Substrate)	SwissProt AC (E3)	SwissProt AC (Substrate)	Gene Symbol (E3)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	E3TYPE	COUNT	type	species
984	FZR_HUMAN	SKP2_HUMAN	Q9UM11	Q13309	FZR1	SKP2	MEDLINE	20717963	Collectively, our results suggest that Bcr-Abl increases Emi1 phosphorylation and stability to prevent <span class="match term1">Skp2</span> protein degradation via APC/<span class="match term0">Cdh1</span>-induced ubiquitination and to enhance proliferation of CML cells	CDC20	1	Training data	H.sapiens
985	FZR1_HUMAN	MYF5_HUMAN	Q9UM11	P13349	FZR1	MYF5	MEDLINE	17601983	UbiNet 2.0	CDC20	1	Training data	H.sapiens
986	FZR_HUMAN	PTTG1_HUMAN	Q9UM11	O95997	FZR1	PTTG1	MEDLINE	16355229	Cdc20 and <span class="match term0">Cdh1</span> are the activating subunits of the anaphase-promoting complex (APC), an E3 ubiquitin ligase that drives cells into anaphase by inducing degradation of cyclin B and the anaphase inhibitor securin	CDC20	1	Training data	H.sapiens
987	FZR_HUMAN	KTHY_HUMAN	Q9UM11	P23919	FZR1	DTYMK	MEDLINE	16103219	We demonstrate that <span class="match term1">TMPK</span> is recognized and degraded by APC/C-Cdc20/<span class="match term0">Cdh1</span>-mediated pathways from mitosis to the early G1 phase, whereas TK1 is targeted for degradation by APC/C-<span class="match term0">Cdh1</span> after mitotic exit	CDC20	1	Training data	H.sapiens
988	FZR1_HUMAN	NIPA_HUMAN	Q9UM11	Q86WB0	FZR1	ZC3HC1	MEDLINE	22205987	APC/C(<span class="match term0">Cdh1</span>)-mediated degradation of the F-box protein <span class="match term1">NIPA</span> is regulated by its association with Skp1.	CDC20	1	Other	H.sapiens
989	FZR_HUMAN	KITH_HUMAN	Q9UM11	P04183	FZR1	TK1	MEDLINE	16103219	We demonstrate that TMPK is recognized and degraded by APC/C-Cdc20/<span class="match term0">Cdh1</span>-mediated pathways from mitosis to the early G1 phase, whereas <span class="match term1">TK1</span> is targeted for degradation by APC/C-<span class="match term0">Cdh1</span> after mitotic exit	CDC20	1	Training data	H.sapiens
990	FZR1_HUMAN	STIL_HUMAN	Q9UM11	Q15468	FZR1	STIL	MEDLINE	24485834	UbiNet 2.0	CDC20	1	Other	H.sapiens
991	FZR_HUMAN	CCNB1_HUMAN	Q9UM11	P14635	FZR1	CCNB1	MEDLINE	18753608	As CDC20 is a substrate of APC (<span class="match term0">FZR1</span>), CDC20 might have competed with cyclin B and inhibited the <span class="match term0">FZR1</span> function	CDC20	1	Training data	H.sapiens
992	FZR_HUMAN	ID1_HUMAN	Q9UM11	P41134	FZR1	ID1	MEDLINE	16810178	APC/C(<span class="match term0">Cdh1</span>) targets Id2 for degradation through a destruction box motif (D box) that is conserved in <span class="match term1">Id1</span> and Id4	CDC20	1	Training data	H.sapiens
993	FZR_HUMAN	CDC6_HUMAN	Q9UM11	Q99741	FZR1	CDC6	MEDLINE	17567951	Previous studies have demonstrated that, in response to ionizing radiation, <span class="match term1">Cdc6</span> is ubiquitinated by the anaphase promoting complex (APC(<span class="match term0">Cdh1</span>)) in a p53-dependent manner	CDC20	1	Training data	H.sapiens
994	FZR1_HUMAN	BUB1B_HUMAN	Q9UM11	O60566	FZR1	BUB1B	MEDLINE	23091007	UbiNet 2.0	CDC20	1	Other	H.sapiens
995	FZR_HUMAN	TPX2_HUMAN	Q9UM11	Q9ULW0	FZR1	TPX2	MEDLINE	16287863	In a reconstituted system, <span class="match term1">TPX2</span> is efficiently ubiquitinated by APC/C that has been activated by <span class="match term0">Cdh1</span>	CDC20	1	Training data	H.sapiens
996	FZR1_HUMAN	NEK2_HUMAN	Q9UM11	P51955	FZR1	NEK2	MEDLINE	26387737	UbiNet 2.0	CDC20	1	Other	H.sapiens
997	FZR1_HUMAN	FOXM1_HUMAN	Q9UM11	Q08050	FZR1	FOXM1	MEDLINE	18573889	UbiNet 2.0	CDC20	1	Training data	H.sapiens
998	FZR_HUMAN	GEMI_HUMAN	Q9UM11	O75496	FZR1	GMNN	MEDLINE	19101468	Geminin is a direct substrate of the APC(<span class="match term0">Cdh1</span>) complex, and accumulates during the S, G(2), and M phases	CDC20	1	Training data	H.sapiens
999	FZR1_HUMAN	SOX2_HUMAN	Q9UM11	P48431	FZR1	SOX2	MEDLINE	23972993	UbiNet 2.0	CDC20	1	Other	H.sapiens
1000	FZR1_HUMAN	PAF15_HUMAN	Q9UM11	Q15004	FZR1	PCLAF	MEDLINE	21700221	UbiNet 2.0	CDC20	1	Other	H.sapiens
1001	FZR1_HUMAN	OPA1_HUMAN	Q9UM11	O60313	FZR1	OPA1	MEDLINE	23045728	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1002	FZR_HUMAN	CLSPN_HUMAN	Q9UM11	Q9HAW4	FZR1	CLSPN	MEDLINE	19124652	Importantly, we demonstrate that USP7 specifically opposes the SCF(betaTrCP)- but not APC(<span class="match term0">Cdh1</span>)-mediated degradation of <span class="match term1">Claspin</span>	CDC20	1	Training data	H.sapiens
1003	FZR_HUMAN	NUSAP_HUMAN	Q9UM11	Q9BXS6	FZR1	NUSAP1	MEDLINE	17618083	Here we show that <span class="match term1">NuSAP</span> can be ubiquitinated and degraded by APC/C-<span class="match term0">hCdh1</span> E3 ligase	CDC20	1	Training data	H.sapiens
1004	FZR1_HUMAN	HECW2_HUMAN	Q9UM11	Q9P2P5	FZR1	HECW2	MEDLINE	24163370	UbiNet 2.0	CDC20	1	Other	H.sapiens
1005	FZR1_HUMAN	TFAM_HUMAN	Q9UM11	Q00059	FZR1	TFAM	MEDLINE	23045728	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1006	FZR1_HUMAN	SAS6_HUMAN	Q9UM11	Q6UVJ0	FZR1	SASS6	MEDLINE	17681132	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1007	FZR_HUMAN	SKIL_HUMAN	Q9UM11	P12757	FZR1	SKIL	MEDLINE	11741538	Furthermore, the APC activator <span class="match term0">CDH1</span> and Smad3 synergistically regulate <span class="match term1">SnoN</span> degradation	CDC20	1	Training data	H.sapiens
1008	FZR_HUMAN	CKAP2_HUMAN	Q9UM11	Q8WWK9	FZR1	CKAP2	MEDLINE	17339342	Functional importance of the anaphase-promoting complex-<span class="match term0">Cdh1</span>-mediated degradation of TMAP/<span class="match term1">CKAP2</span> in regulation of spindle function and cytokinesis	CDC20	1	Training data	H.sapiens
1009	FZR1_HUMAN	DCPS_HUMAN	Q9UM11	Q96C86	FZR1	DCPS	MEDLINE	25043029	UbiNet 2.0	CDC20	1	Other	H.sapiens
1010	FZR_HUMAN	RUNX1_HUMAN	Q9UM11	Q01196	FZR1	RUNX1	MEDLINE	17015473	A phospho-mimic protein, <span class="match term1">AML1</span>-4D, can be targeted by Cdc20 or <span class="match term0">Cdh1</span>	CDC20	1	Training data	H.sapiens
1011	FZR1_HUMAN	MK08_HUMAN	Q9UM11	P45983	FZR1	MAPK8	MEDLINE	20581839	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1012	FZR1_HUMAN	F263_HUMAN	Q9UM11	Q16875	FZR1	PFKFB3	MEDLINE	20080744	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1013	FZR1_HUMAN	PECA1_HUMAN	Q9UM11	P16284	FZR1	PECAM1	MEDLINE	31489637	APC/<span class="match term0">Cdh1</span> targets <span class="match term1">PECAM-1</span> for ubiquitination and degradation in endothelial cells.	CDC20	1	Other	H.sapiens
1014	FZR1_HUMAN	ANLN_HUMAN	Q9UM11	Q9NQW6	FZR1	ANLN	MEDLINE	16040610	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1015	FZR1_HUMAN	E2F1_HUMAN	Q9UM11	Q01094	FZR1	E2F1	MEDLINE	22580462	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1016	FZR_HUMAN	DNMT1_HUMAN	Q9UM11	P26358	FZR1	DNMT1	MEDLINE	15899874	Both <span class="match term1">Dnmt1</span> and <span class="match term0">Cdh1</span> were phosphorylated in vivo, but only <span class="match term0">Cdh1</span> was significantly dephosphorylated upon 5-aza-CdR treatment, suggesting its involvement in initiating the proteasomal degradation of <span class="match term1">DNMT1</span>	CDC20	1	Training data	H.sapiens
1017	FZR1_HUMAN	DNM1L_HUMAN	Q9UM11	O00429	FZR1	DNM1L	MEDLINE	21325626	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1018	FZR1_HUMAN	TRRAP_HUMAN	Q9UM11	Q9Y4A5	FZR1	TRRAP	MEDLINE	23318449	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1019	FZR_HUMAN	CASL_HUMAN	Q9UM11	Q14511	FZR1	NEDD9	MEDLINE	15144564	CONCLUSIONS: Our data suggests that Smad3 may recruit the APC complex via a direct interaction with the APC subunit APC10 to regulate the ubiquitination and degradation of its interactor <span class="match term1">HEF1</span>, which is recognized as an ubiquitination substrate by the <span class="match term0">CDH1</span> subunit of the APC complex	CDC20	1	Training data	H.sapiens
1020	FZR_HUMAN	CAD13_HUMAN	Q9UM11	P55290	FZR1	CDH13	MEDLINE	17631504	Ectopic expression of <span class="match term0">Cdh1</span> (CDC20 homolog 1), one of the substrate recognition components of anaphase promoting complex (E3 ligase), stimulated T-Cad degradation	CDC20	1	Training data	H.sapiens
1021	FZR_HUMAN	ID2_HUMAN	Q9UM11	Q02363	FZR1	ID2	MEDLINE	16810178	APC/C(<span class="match term0">Cdh1</span>) targets <span class="match term1">Id2</span> for degradation through a destruction box motif (D box) that is conserved in Id1 and Id4	CDC20	1	Training data	H.sapiens
1022	FZR1_HUMAN	AURKB_HUMAN	Q9UM11	Q96GD4	FZR1	AURKB	MEDLINE	16204042	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1023	FZR1_HUMAN	PAX3_HUMAN	Q9UM11	P23760	FZR1	PAX3	MEDLINE	26329581	The E3 ligase APC/C(<span class="match term0">Cdh1</span>) promotes ubiquitylation-mediated proteolysis of <span class="match term1">PAX3</span> to suppress melanocyte proliferation and melanoma growth.	CDC20	1	Other	H.sapiens
1024	FZR1_HUMAN	UBP1_HUMAN	Q9UM11	O94782	FZR1	USP1	MEDLINE	21768287	APC/CCdh1-dependent proteolysis of <span class="match term1">USP1</span> regulates the response to UV-mediated DNA damage.	CDC20	1	Other	H.sapiens
1025	FZR_HUMAN	SGOL1_HUMAN	Q9UM11	Q5FBB7	FZR1	SGOL1	MEDLINE	19015261	Sgo1 is ubiquitinated by APC/C bound to <span class="match term0">Cdh1</span> (APC/C(<span class="match term0">Cdh1</span>)) in vitro	CDC20	1	Training data	H.sapiens
1026	FZR1_HUMAN	MPIP1_HUMAN	Q9UM11	P30304	FZR1	CDC25A	MEDLINE	12234927	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1027	FZR1_HUMAN	CTIP_HUMAN	Q9UM11	Q99708	FZR1	RBBP8	MEDLINE	22199232	E3Net	CDC20	1	Other	H.sapiens
1028	FZR1_HUMAN	MK09_HUMAN	Q9UM11	P45984	FZR1	MAPK9	MEDLINE	20581839	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1029	FZR1_HUMAN	MK10_HUMAN	Q9UM11	P53779	FZR1	MAPK10	MEDLINE	20581839	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1030	FZR1_HUMAN	NDC80_HUMAN	Q9UM11	O14777	FZR1	NDC80	MEDLINE	21199005	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1031	FZR1_HUMAN	MFN1_HUMAN	Q9UM11	Q8IWA4	FZR1	MFN1	MEDLINE	23045728	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1032	FZR1_HUMAN	AURKA_HUMAN	Q9UM11	O14965	FZR1	AURKA	MEDLINE	12023018	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1033	FZR1_HUMAN	KLF4_HUMAN	Q9UM11	O43474	FZR1	KLF4	MEDLINE	21177849	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1034	FZR1_HUMAN	MOAP1_HUMAN	Q9UM11	Q96BY2	FZR1	MOAP1	MEDLINE	22529100	UbiNet 2.0	CDC20	1	Training data	H.sapiens
1035	GAN_HUMAN	-	Q9H2C0	-	GAN	IF	MEDLINE	23585478	UbiNet 2.0	BTB_3	1	Other	H.sapiens
1036	GAN_HUMAN	TBCB_HUMAN	Q9H2C0	Q99426	GAN	TBCB	UniProt	GAN_HUMAN	Ubiquitinated in the presence of <span class="match term0">GAN</span> which targets it for degradation by the proteasome (By similarity)	BTB_3	1	Training data	H.sapiens
1037	GAN_HUMAN	MAP1S_HUMAN	Q9H2C0	Q66K74	GAN	MAP1S	MEDLINE	19168853	Gigaxonin has been proposed as a substrate adaptor for an E3 ubiquitin ligase, which affects proteasome-dependent degradation of microtubule-related proteins including MAP1B, <span class="match term1">MAP8</span> and the tubulin folding chaperone TBCB	BTB_3	1	Training data	H.sapiens
1038	GAN_HUMAN	A16L1_HUMAN	Q9H2C0	Q676U5	GAN	ATG16L1	MEDLINE	30770803	Gigaxonin interacts with the WD40 domain of <span class="match term1">ATG16L1</span> to drive its ubiquitination and subsequent degradation	BTB_3	1	Other	H.sapiens
1039	GAN_HUMAN	MAP1B_HUMAN	Q9H2C0	P46821	GAN	MAP1B	MEDLINE	19168853	Gigaxonin has been proposed as a substrate adaptor for an E3 ubiquitin ligase, which affects proteasome-dependent degradation of microtubule-related proteins including <span class="match term1">MAP1B</span>, MAP8 and the tubulin folding chaperone TBCB	BTB_3	1	Training data	H.sapiens
1040	GAN_HUMAN	SHH_HUMAN	Q9H2C0	Q15465	GAN	SHH	MEDLINE	31503551	31503551	BTB_3	1	Other	H.sapiens
1041	GAN_HUMAN	GFAP_HUMAN	Q9H2C0	P14136	GAN	GFAP	MEDLINE	27798231	UbiNet 2.0	BTB_3	1	Other	H.sapiens
1042	HACE1_HUMAN	RAC1_HUMAN	Q8IYU2	P63000	HACE1	RAC1	MEDLINE	22036506	The E3 ubiquitin-ligase <span class="match term0">HACE1</span> catalyzes the ubiquitylation of active <span class="match term1">Rac1</span>.	HECT	1	Other	H.sapiens
1043	HACE1_HUMAN	GOLM1_HUMAN	Q8IYU2	Q8NBJ4	HACE1	GOLM1	MEDLINE	21988917	UbiNet 2.0	HECT	1	Training data	H.sapiens
1044	HACE1_HUMAN	CCND1_HUMAN	Q8IYU2	P24385	HACE1	CCND1	MEDLINE	17694067	Mechanistically, the tumor-suppressor function of <span class="match term0">HACE1</span> is dependent on its E3 ligase activity and <span class="match term0">HACE1</span> controls adhesion-dependent growth and cell cycle progression during cell stress through degradation of cyclin D1	HECT	1	Training data	H.sapiens
1045	HACE1_HUMAN	RARA_HUMAN	Q8IYU2	P10276	HACE1	RARA	MEDLINE	19350571	UbiNet 2.0	HECT	1	Training data	H.sapiens
1046	HACE1_HUMAN	RARB_HUMAN	Q8IYU2	P10826	HACE1	RARB	MEDLINE	19350571	UbiNet 2.0	HECT	1	Training data	H.sapiens
1047	HACE1_HUMAN	OPTN_HUMAN	Q8IYU2	Q96CV9	HACE1	OPTN	MEDLINE	25026213	UbiNet 2.0	HECT	1	Other	H.sapiens
1048	HDAC6_HUMAN	GLI1_HUMAN	Q9UBN7	P08151	HDAC6	GLI1	MEDLINE	33895473	RNF220-mediated ubiquitination promotes aggresomal accumulation and autophagic degradation of cytoplasmic <span class="match term1">Gli</span> via <span class="match term0">HDAC6</span>	Other	1	Other	H.sapiens
1049	HDAC6_HUMAN	CHK1_HUMAN	Q9UBN7	O14757	HDAC6	CHEK1	MEDLINE	33020410	We have found that <span class="match term0">HDAC6</span> and <span class="match term1">Chk1</span> directly interact, and that <span class="match term0">HDAC6</span> ubiquitinates <span class="match term1">Chk1</span> in vivo and in vitro	Other	1	Other	H.sapiens
1050	HECD1_HUMAN	PI51C_HUMAN	Q9ULT8	O60331	HECTD1	PIP5K1C	MEDLINE	23572508	UbiNet 2.0	HECT	1	Training data	H.sapiens
1051	HECD1_HUMAN	MACF1_HUMAN	Q9ULT8	Q9UPN3	HECTD1	MACF1	MEDLINE	29386124	The E3 Ubiquitin Ligase <span class="match term0">HectD1</span> Suppresses EMT and Metastasis by Targeting the +TIP <span class="match term1">ACF7</span> for Degradation	HECT	1	Other	H.sapiens
1052	HECD1_HUMAN	SNAI1_HUMAN	Q9ULT8	O95863	HECTD1	SNAI1	MEDLINE	32319576	On the whole, the data of the present study indicated that <span class="match term0">HECTD1</span> serves as an E3 ubiquitin ligase to mediate the stability of <span class="match term1">SNAIL</span> proteins.	HECT	1	Other	H.sapiens
1053	HECD2_HUMAN	PIAS1_HUMAN	Q5U5R9	O75925	HECTD2	PIAS1	MEDLINE	26157031	UbiNet 2.0	HECT	1	Other	H.sapiens
1054	HECD3_HUMAN	STX8_HUMAN	Q5T447	Q9UNK0	HECTD3	STX8	UniProt	HECD3_HUMAN	Ubiquitinated by <span class="match term0">HECTD3</span> (By similarity)	HECT	1	Training data	H.sapiens
1055	HECD3_HUMAN	CASP9_HUMAN	Q5T447	P55211	HECTD3	CASP9	MEDLINE	28716524	<span class="match term0">HECTD3</span> can bind and ubiquitinate caspase-9, which leads to inhibiting caspase-9 oligomerization and association with Apaf-1, and results in suppressing caspase-9 activation and inhibiting apoptosis	HECT	1	Other	H.sapiens
1056	HECD3_HUMAN	TARA_HUMAN	Q5T447	Q9H2D6	HECTD3	TRIOBP	MEDLINE	18194665	All these findings suggest that <span class="match term0">HECTD3</span> may facilitate cell cycle progression via regulating ubiquitination and degradation of <span class="match term1">Tara</span>	HECT	1	Training data	H.sapiens
1057	HECD3_HUMAN	MALT1_HUMAN	Q5T447	Q9UDY8	HECTD3	MALT1	MEDLINE	23358872	UbiNet 2.0	HECT	1	Training data	H.sapiens
1058	HECD3_HUMAN	CASP8_HUMAN	Q5T447	Q14790	HECTD3	CASP8	MEDLINE	24287696	These findings suggest that caspase-8 ubiquitination by <span class="match term0">HECTD3</span> confers cancer cell survival	HECT	1	Other	H.sapiens
1059	HECD3_HUMAN	RAF1_HUMAN	Q5T447	P04049	HECTD3	RAF1	MEDLINE	28636940	UbiNet 2.0	HECT	1	Other	H.sapiens
1060	HECW1_HUMAN	DVL1_HUMAN	Q76N89	O14640	HECW1	DVL1	UniProt	HECW1_HUMAN	E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent degradation of <span class="match term1">DVL1</span>	HECT	1	Training data	H.sapiens
1061	HECW1_HUMAN	TTF1_HUMAN	Q76N89	Q15361	HECW1	TTF1	MEDLINE	30849519	Furthermore, we demonstrate that an E3 ubiquitin ligase, named HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 (<span class="match term0">HECW1</span>), targets <span class="match term1">TTF1</span> for its ubiquitination and degradation, while downregulation of <span class="match term0">HECW1</span> attenuates PMA-induced <span class="match term1">TTF1</span> ubiquitination and degradation	HECT	1	Other	H.sapiens
1062	HECW1_HUMAN	SMAD4_HUMAN	Q76N89	Q13485	HECW1	SMAD4	MEDLINE	33529121	E3 ubiquitin ligase <span class="match term0">HECW1</span> promotes the metastasis of non-small cell lung cancer cells through mediating the ubiquitination of <span class="match term1">Smad4</span>	HECT	1	Other	H.sapiens
1063	HECW2_HUMAN	PCNA_HUMAN	Q9P2P5	P12004	HECW2	PCNA	MEDLINE	29753763	E3 ubiquitin ligase <span class="match term0">HECW2</span> targets <span class="match term1">PCNA</span> and lamin B1	HECT	1	Other	H.sapiens
1064	HECW2_HUMAN	LMNB1_HUMAN	Q9P2P5	P20700	HECW2	LMNB1	MEDLINE	29753763	E3 ubiquitin ligase <span class="match term0">HECW2</span> targets PCNA and <span class="match term1">lamin B1</span>	HECT	1	Other	H.sapiens
1065	HECW2_HUMAN	P73_HUMAN	Q9P2P5	O15350	HECW2	TP73	MEDLINE	12890487	UbiNet 2.0	HECT	1	Training data	H.sapiens
1066	HERC1_HUMAN	SOX9_HUMAN	Q15751	P48436	HERC1	SOX9	MEDLINE	24155239	UbiNet 2.0	HECT	1	Other	H.sapiens
1067	HERC1_HUMAN	TSC2_HUMAN	Q15751	P49815	HERC1	TSC2	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1068	HERC1_HUMAN	RAF1_HUMAN	Q15751	P04049	HERC1	RAF1	MEDLINE	30140388	In vitro ubiquitylation assays indicate that <span class="match term1">C-RAF</span> is a substrate of the E3 ubiquitin ligase <span class="match term0">HERC1</span>	HECT	1	Other	H.sapiens
1069	HERC2_HUMAN	XPA_HUMAN	O95714	P23025	HERC2	XPA	MEDLINE	21193487	Ubiquitination and proteolysis of <span class="match term1">XPA</span> are inhibited by DNA damage that promotes tight association of the protein with chromatin and its dissociation from the <span class="match term0">HERC2</span> E3 ligase	HECT	1	Training data	H.sapiens
1070	HERC2_HUMAN	NEUL4_HUMAN	O95714	Q96JN8	HERC2	NEURL4	MEDLINE	22261722	UbiNet 2.0	HECT	1	Training data	H.sapiens
1071	HERC2_HUMAN	SUMO1_HUMAN	O95714	P63165	HERC2	SUMO1	MEDLINE	33377049	Here, we describe a protocol for biochemical and structural analysis of the ZZ domain of human E3 ubiquitin ligase <span class="match term0">HERC2</span> (HERC2ZZ) and its interaction with its ligands: the N-terminal tails of histone H3 and <span class="match term1">SUMO1</span>	HECT	1	Other	H.sapiens
1072	HERC2_HUMAN	BRCA1_HUMAN	O95714	P38398	HERC2	BRCA1	MEDLINE	20631078	<span class="match term0">HERC2</span> is an E3 ligase that targets <span class="match term1">BRCA1</span> for degradation.Conversely, BARD1 protects <span class="match term1">BRCA1</span> from <span class="match term0">HERC2</span>-mediated ubiquitination	HECT	1	Other	H.sapiens
1073	HERC2_HUMAN	UBP20_HUMAN	O95714	Q9Y2K6	HERC2	USP20	MEDLINE	25355518	UbiNet 2.0	HECT	1	Other	H.sapiens
1074	HERC4_HUMAN	LATS1_HUMAN	Q5GLZ8	O95835	HERC4	LATS1	MEDLINE	30710319	<span class="match term0">HERC4</span> is a new E3 ligase for the tumor suppressor <span class="match term1">LATS1</span> and destabilizes <span class="match term1">LATS1</span> by promoting the ubiquitination of <span class="match term1">LATS1</span>	HECT	1	Other	H.sapiens
1075	HERC5_HUMAN	CTBP1_HUMAN	Q9UII4	Q13363	HERC5	CTBP1	MEDLINE	34147029	Collectively, our results reveal that downregulation of <span class="match term0">HERC5</span> E3 ligase attenuates the ubiquitination of <span class="match term1">CtBP1</span> to inhibit apoptosis	HECT	1	Other	H.sapiens
1076	HERC5_HUMAN	NDKB_HUMAN	Q9UII4	P22392	HERC5	NME2	MEDLINE	18535780	While hPLIC proteins are not ubiquitinated by HERC3, <span class="match term0">HERC5</span> plays an important role in ubiquitination of <span class="match term1">Nm23B</span>	HECT	1	Training data	H.sapiens
1077	HLTF_HUMAN	PCNA_HUMAN	Q14527	P12004	HLTF	PCNA	MEDLINE	21269891	<span class="match term0">HLTF</span> and SHPRH are not essential for <span class="match term1">PCNA</span> polyubiquitination, survival and somatic hypermutation: Existence of an alternative E3 ligase	RING	1	Training data	H.sapiens
1078	HUWE1_HUMAN	MUTYH_HUMAN	Q7Z6Z7	Q9UIF7	HUWE1	MUTYH	MEDLINE	24443563	Regulation of human <span class="match term1">MutYH</span> DNA glycosylase by the E3 ubiquitin ligase <span class="match term0">mule</span>.	HECT	1	Other	H.sapiens
1079	HUWE1_HUMAN	H2A2B_HUMAN	Q7Z6Z7	Q8IUE6	HUWE1	H2AC21	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1080	HUWE1_HUMAN	KDM3A_HUMAN	Q7Z6Z7	Q9Y4C1	HUWE1	KDM3A	MEDLINE	32238799	Further, we found that ubiquitin ligase <span class="match term0">HUWE1</span> induced the K27-/K29-linked noncanonical ubiquitination of <span class="match term1">JMJD1A</span> at lysine-918	HECT	1	Other	H.sapiens
1081	HUWE1_HUMAN	P53_HUMAN	Q7Z6Z7	P04637	HUWE1	TP53	MEDLINE	21233842	Intriguingly, the human homologue of EEL-1, <span class="match term0">Huwe1</span>/ARF-BP1/Mule/HectH9, has been reported to possess both pro- and anti-apoptotic functions through its ability to stimulate Mcl-1 and <span class="match term1">p53</span> degradation, respectively	HECT	1	Training data	H.sapiens
1082	HUWE1_HUMAN	TGFR2_HUMAN	Q7Z6Z7	P37173	HUWE1	TGFBR2	MEDLINE	33405091	The E3 ligase <span class="match term0">HUWE1</span> mediates <span class="match term1">TGFBR2</span> ubiquitination and promotes gastric cancer cell proliferation, migration, and invasion	HECT	1	Other	H.sapiens
1083	HUWE1_HUMAN	MYC_HUMAN	Q7Z6Z7	P01106	HUWE1	MYC	MEDLINE	16269333	UbiNet 2.0	HECT	1	Training data	H.sapiens
1084	HUWE1_HUMAN	WIPI2_HUMAN	Q7Z6Z7	Q9Y4P8	HUWE1	WIPI2	MEDLINE	30646805	With this clue, we uncovered that <span class="match term1">WIPI2</span> is a phosphorylation substrate of MTORC1 and a ubiquitination target of <span class="match term0">HUWE1</span>	HECT	1	Other	H.sapiens
1085	HUWE1_HUMAN	H2B1B_HUMAN	Q7Z6Z7	P33778	HUWE1	H2BC3	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1086	HUWE1_HUMAN	HXK2_HUMAN	Q7Z6Z7	P52789	HUWE1	HK2	MEDLINE	31201299	Here we identify that K63-linked ubiquitination by <span class="match term0">HectH9</span> regulates the mitochondrial localization and function of <span class="match term1">HK2</span>	HECT	1	Other	H.sapiens
1087	HUWE1_HUMAN	H15_HUMAN	Q7Z6Z7	P16401	HUWE1	H1-5	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1088	HUWE1_HUMAN	NR1D1_HUMAN	Q7Z6Z7	P20393	HUWE1	NR1D1	MEDLINE	20534529	UbiNet 2.0	HECT	1	Training data	H.sapiens
1089	HUWE1_HUMAN	MCL1_HUMAN	Q7Z6Z7	Q07820	HUWE1	MCL1	MEDLINE	16213503	UbiNet 2.0	HECT	1	Training data	H.sapiens
1090	HUWE1_HUMAN	H32_HUMAN	Q7Z6Z7	Q71DI3	HUWE1	H3C15	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1091	HUWE1_HUMAN	CHK1_HUMAN	Q7Z6Z7	O14757	HUWE1	CHEK1	MEDLINE	31713291	We also identified multiple lysine residues on <span class="match term1">Chk1</span> that are poly-ubiquitinated by <span class="match term0">HUWE1</span> in vitro, many of which are within the kinase domain	HECT	1	Other	H.sapiens
1092	HUWE1_HUMAN	H2B1A_HUMAN	Q7Z6Z7	Q96A08	HUWE1	H2BC1	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1093	HUWE1_HUMAN	PIAS2_HUMAN	Q7Z6Z7	O75928	HUWE1	PIAS2	MEDLINE	20624960	UbiNet 2.0	HECT	1	Other	H.sapiens
1094	HUWE1_HUMAN	PA2G4_HUMAN	Q7Z6Z7	Q9UQ80	HUWE1	PA2G4	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1095	HUWE1_HUMAN	PPARA_HUMAN	Q7Z6Z7	Q07869	HUWE1	PPARA	MEDLINE	29331071	Furthermore, the E3 ubiquitin ligase <span class="match term0">HUWE1</span> was identified to mediate <span class="match term1">PPARalpha</span> polyubiquitination.	HECT	1	Other	H.sapiens
1096	HUWE1_HUMAN	PCNA_HUMAN	Q7Z6Z7	P12004	HUWE1	PCNA	MEDLINE	22203964	UbiNet 2.0	HECT	1	Other	H.sapiens
1097	HUWE1_HUMAN	MYCN_HUMAN	Q7Z6Z7	P04198	HUWE1	MYCN	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
